id,Soil type,Installion method,gamma (kN/m3),friction angle (°),wall interface friction angle (°),cohesion (kPa),ultimate bond strength (kPa),Nc,Nq,Ng,D (mm),Dout (mm),Din (mm),Bar #,fy (MPa),H (m),Wall batter angle (°),Nail length (m),Sv (m),Sh (m),Nail inclination (°),Cantilever distance (m),Tracción (kN),Ka,Displacement (mm),Eccentricity (m),FS SL,FS BC,FS global,Es suficiente
1,Soft clay,Auger,17,26,17.3,5.00,28,22.3,11.9,12.5,203,25.4,0,25,413.7,3,45,3,0.79,0.79,20,0.3,61.7,0.083,6,-2.9,2.8,26.7,2.09,VERDADERO
2,Soft clay,Auger,17,26,17.3,5.00,28,22.3,11.9,12.5,203,25.4,0,25,413.7,4,45,3,0.79,0.79,20,0.3,61.7,0.083,8,-3.8,2.3,24.2,1.68,VERDADERO
3,Soft clay,Auger,17,26,17.3,5.00,28,22.3,11.9,12.5,203,25.4,0,25,413.7,5,45,3.5,0.79,0.79,20,0.3,61.7,0.083,10,-4.8,2.1,23.2,1.56,VERDADERO
4,Soft clay,Auger,17,26,17.3,5.00,28,22.3,11.9,12.5,203,25.4,0,25,413.7,6,45,4.5,0.79,0.79,20,0.3,61.8,0.083,12,-5.7,2.1,22.4,1.52,VERDADERO
5,Soft clay,Auger,17,26,17.3,5.00,28,22.3,11.9,12.5,203,25.4,0,25,413.7,7,45,5,0.79,0.79,20,0.3,61.9,0.083,14,-6.7,2,21.9,1.47,VERDADERO
6,Soft clay,Auger,17,26,17.3,5.00,28,22.3,11.9,12.5,203,25.4,0,25,413.7,8,45,6,0.79,0.79,20,0.3,62,0.083,16,-7.6,2.1,21.8,1.45,VERDADERO
7,Soft clay,Auger,17,26,17.3,5.00,28,22.3,11.9,12.5,203,25.4,0,25,413.7,9,45,7,0.79,0.79,20,0.3,62.1,0.083,18,-8.6,2.1,21.7,1.44,VERDADERO
8,Soft clay,Auger,17,26,17.3,5.00,28,22.3,11.9,12.5,203,25.4,0,25,413.7,10,45,7,0.79,0.79,20,0.3,62.1,0.083,20,-9.5,1.9,21,1.36,VERDADERO
9,Stiff clayey silt,Auger,18.9,28,18.7,2.00,100,25.8,14.7,16.7,203,25.4,0,25,413.7,3,83,3,0.79,0.79,15,0.3,62.3,0.273,6,-0.2,2,11,1.7,VERDADERO
10,Stiff clayey silt,Auger,18.9,28,18.7,2.00,100,25.8,14.7,16.7,203,25.4,0,25,413.7,4,83,4,0.79,0.79,15,0.3,72.2,0.272,8,-0.3,2,10.6,1.6,VERDADERO
