id,Soil type,Installion method,gamma (kN/m3),friction angle (Â°),wall interface friction angle (Â°),cohesion (kPa),ultimate bond strength (kPa),Nc,Nq,Ng,D (mm),Dout (mm),Din (mm),Bar #,fy (MPa),H (m),Wall batter angle (Â°),Nail length (m),Sv (m),Sh (m),Nail inclination (Â°),Cantilever distance (m),TracciÃ³n (kN),Ka,Displacement (mm),Eccentricity (m),FS SL,FS BC,FS global,Es suficiente
1.0,,,17.0,26.0,17.3,5.0,28.0,22.3,11.9,12.5,203.0,25.4,0.0,25.0,413.7,3.0,45.0,3.0,0.79,0.79,20.0,0.3,61.7,0.083,6.0,-2.9,2.8,26.7,2.09,
2.0,,,17.0,26.0,17.3,5.0,28.0,22.3,11.9,12.5,203.0,25.4,0.0,25.0,413.7,4.0,45.0,3.0,0.79,0.79,20.0,0.3,61.7,0.083,8.0,-3.8,2.3,24.2,1.68,
3.0,,,17.0,26.0,17.3,5.0,28.0,22.3,11.9,12.5,203.0,25.4,0.0,25.0,413.7,5.0,45.0,3.5,0.79,0.79,20.0,0.3,61.7,0.083,10.0,-4.8,2.1,23.2,1.56,
4.0,,,17.0,26.0,17.3,5.0,28.0,22.3,11.9,12.5,203.0,25.4,0.0,25.0,413.7,6.0,45.0,4.5,0.79,0.79,20.0,0.3,61.8,0.083,12.0,-5.7,2.1,22.4,1.52,
5.0,,,17.0,26.0,17.3,5.0,28.0,22.3,11.9,12.5,203.0,25.4,0.0,25.0,413.7,7.0,45.0,5.0,0.79,0.79,20.0,0.3,61.9,0.083,14.0,-6.7,2.0,21.9,1.47,
6.0,,,17.0,26.0,17.3,5.0,28.0,22.3,11.9,12.5,203.0,25.4,0.0,25.0,413.7,8.0,45.0,6.0,0.79,0.79,20.0,0.3,62.0,0.083,16.0,-7.6,2.1,21.8,1.45,
9.0,,,18.9,28.0,18.7,2.0,100.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,3.0,83.0,3.0,0.79,0.79,15.0,0.3,62.3,0.273,6.0,-0.2,2.0,11.0,1.7,
10.0,,,18.9,28.0,18.7,2.0,100.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,4.0,83.0,4.0,0.79,0.79,15.0,0.3,72.2,0.272,8.0,-0.3,2.0,10.6,1.6,
11.0,,,18.9,28.0,18.7,2.0,100.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,5.0,83.0,5.0,0.79,0.79,15.0,0.3,105.3,0.276,10.0,-0.3,1.9,10.3,1.61,
12.0,,,18.9,28.0,18.7,2.0,100.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,6.0,83.0,6.0,0.79,0.79,15.0,0.3,116.5,0.276,12.0,-0.4,1.9,10.3,1.55,
